('YMD','Year','Month','Day'),
('20000101','2000','01','01'),
('20000102','2000','01','02'),
('20000103','2000','01','03'),
('20000104','2000','01','04'),
('20000105','2000','01','05'),
('20000106','2000','01','06'),
('20000107','2000','01','07'),
('20000108','2000','01','08'),
('20000109','2000','01','09'),
('20000110','2000','01','10'),
('20000111','2000','01','11'),
('20000112','2000','01','12'),
('20000113','2000','01','13'),
('20000114','2000','01','14'),
('20000115','2000','01','15'),
('20000116','2000','01','16'),
('20000117','2000','01','17'),
('20000118','2000','01','18'),
('20000119','2000','01','19'),
('20000120','2000','01','20'),
('20000121','2000','01','21'),
('20000122','2000','01','22'),
('20000123','2000','01','23'),
('20000124','2000','01','24'),
('20000125','2000','01','25'),
('20000126','2000','01','26'),
('20000127','2000','01','27'),
('20000128','2000','01','28'),
('20000129','2000','01','29'),
('20000130','2000','01','30'),
('20000131','2000','01','31'),
('20000201','2000','02','01'),
('20000202','2000','02','02'),
('20000203','2000','02','03'),
('20000204','2000','02','04'),
('20000205','2000','02','05'),
('20000206','2000','02','06'),
('20000207','2000','02','07'),
('20000208','2000','02','08'),
('20000209','2000','02','09'),
('20000210','2000','02','10'),
('20000211','2000','02','11'),
('20000212','2000','02','12'),
('20000213','2000','02','13'),
('20000214','2000','02','14'),
('20000215','2000','02','15'),
('20000216','2000','02','16'),
('20000217','2000','02','17'),
('20000218','2000','02','18'),
('20000219','2000','02','19'),
('20000220','2000','02','20'),
('20000221','2000','02','21'),
('20000222','2000','02','22'),
('20000223','2000','02','23'),
('20000224','2000','02','24'),
('20000225','2000','02','25'),
('20000226','2000','02','26'),
('20000227','2000','02','27'),
('20000228','2000','02','28'),
('20000229','2000','02','29'),
('20000301','2000','03','01'),
('20000302','2000','03','02'),
('20000303','2000','03','03'),
('20000304','2000','03','04'),
('20000305','2000','03','05'),
('20000306','2000','03','06'),
('20000307','2000','03','07'),
('20000308','2000','03','08'),
('20000309','2000','03','09'),
('20000310','2000','03','10'),
('20000311','2000','03','11'),
('20000312','2000','03','12'),
('20000313','2000','03','13'),
('20000314','2000','03','14'),
('20000315','2000','03','15'),
('20000316','2000','03','16'),
('20000317','2000','03','17'),
('20000318','2000','03','18'),
('20000319','2000','03','19'),
('20000320','2000','03','20'),
('20000321','2000','03','21'),
('20000322','2000','03','22'),
('20000323','2000','03','23'),
('20000324','2000','03','24'),
('20000325','2000','03','25'),
('20000326','2000','03','26'),
('20000327','2000','03','27'),
('20000328','2000','03','28'),
('20000329','2000','03','29'),
('20000330','2000','03','30'),
('20000331','2000','03','31'),
('20000401','2000','04','01'),
('20000402','2000','04','02'),
('20000403','2000','04','03'),
('20000404','2000','04','04'),
('20000405','2000','04','05'),
('20000411','2000','04','11'),
('20000412','2000','04','12'),
('20000413','2000','04','13'),
('20000414','2000','04','14'),
('20000415','2000','04','15'),
('20000416','2000','04','16'),
('20000417','2000','04','17'),
('20000418','2000','04','18'),
('20000419','2000','04','19'),
('20000420','2000','04','20'),
('20000421','2000','04','21'),
('20000422','2000','04','22'),
('20000423','2000','04','23'),
('20000424','2000','04','24'),
('20000425','2000','04','25'),
('20000426','2000','04','26'),
('20000427','2000','04','27'),
('20000428','2000','04','28'),
('20000429','2000','04','29'),
('20000430','2000','04','30'),
('20000501','2000','05','01'),
('20000502','2000','05','02'),
('20000503','2000','05','03'),
('20000504','2000','05','04'),
('20000505','2000','05','05'),
('20000506','2000','05','06'),
('20000507','2000','05','07'),
('20000508','2000','05','08'),
('20000509','2000','05','09'),
('20000510','2000','05','10'),
('20000511','2000','05','11'),
('20000512','2000','05','12'),
('20000513','2000','05','13'),
('20000514','2000','05','14'),
('20000515','2000','05','15'),
('20000516','2000','05','16'),
('20000517','2000','05','17'),
('20000518','2000','05','18'),
('20000519','2000','05','19'),
('20000524','2000','05','24'),
('20000525','2000','05','25'),
('20000526','2000','05','26'),
('20000527','2000','05','27'),
('20000528','2000','05','28'),
('20000529','2000','05','29'),
('20000530','2000','05','30'),
('20000531','2000','05','31'),
('20000601','2000','06','01'),
('20000602','2000','06','02'),
('20000603','2000','06','03'),
('20000604','2000','06','04'),
('20000605','2000','06','05'),
('20000606','2000','06','06'),
('20000607','2000','06','07'),
('20000608','2000','06','08'),
('20000609','2000','06','09'),
('20000610','2000','06','10'),
('20000611','2000','06','11'),
('20000612','2000','06','12'),
('20000613','2000','06','13'),
('20000614','2000','06','14'),
('20000615','2000','06','15'),
('20000616','2000','06','16'),
('20000617','2000','06','17'),
('20000618','2000','06','18'),
('20000619','2000','06','19'),
('20000620','2000','06','20'),
('20000621','2000','06','21'),
('20000622','2000','06','22'),
('20000623','2000','06','23'),
('20000624','2000','06','24'),
('20000625','2000','06','25'),
('20000626','2000','06','26'),
('20000627','2000','06','27'),
('20000628','2000','06','28'),
('20000629','2000','06','29'),
('20000630','2000','06','30'),
('20000701','2000','07','01'),
('20000702','2000','07','02'),
('20000703','2000','07','03'),
('20000704','2000','07','04'),
('20000705','2000','07','05'),
('20000706','2000','07','06'),
('20000707','2000','07','07'),
('20000708','2000','07','08'),
('20000709','2000','07','09'),
('20000710','2000','07','10'),
('20000711','2000','07','11'),
('20000712','2000','07','12'),
('20000713','2000','07','13'),
('20000714','2000','07','14'),
('20000715','2000','07','15'),
('20000716','2000','07','16'),
('20000717','2000','07','17'),
('20000718','2000','07','18'),
('20000719','2000','07','19'),
('20000720','2000','07','20'),
('20000721','2000','07','21'),
('20000724','2000','07','24'),
('20000725','2000','07','25'),
('20000726','2000','07','26'),
('20000727','2000','07','27'),
('20000728','2000','07','28'),
('20000729','2000','07','29'),
('20000730','2000','07','30'),
('20000731','2000','07','31'),
('20000801','2000','08','01'),
('20000802','2000','08','02'),
('20000803','2000','08','03'),
('20000804','2000','08','04'),
('20000805','2000','08','05'),
('20000806','2000','08','06'),
('20000807','2000','08','07'),
('20000808','2000','08','08'),
('20000809','2000','08','09'),
('20000810','2000','08','10'),
('20000811','2000','08','11'),
('20000812','2000','08','12'),
('20000813','2000','08','13'),
('20000814','2000','08','14'),
('20000815','2000','08','15'),
('20000816','2000','08','16'),
('20000817','2000','08','17'),
('20000818','2000','08','18'),
('20000819','2000','08','19'),
('20000820','2000','08','20'),
('20000821','2000','08','21'),
('20000822','2000','08','22'),
('20000823','2000','08','23'),
('20000824','2000','08','24'),
('20000825','2000','08','25'),
('20000826','2000','08','26'),
('20000827','2000','08','27'),
('20000828','2000','08','28'),
('20000829','2000','08','29'),
('20000830','2000','08','30'),
('20000831','2000','08','31'),
('20000901','2000','09','01'),
('20000902','2000','09','02'),
('20000903','2000','09','03'),
('20000904','2000','09','04'),
('20000905','2000','09','05'),
('20000906','2000','09','06'),
('20000907','2000','09','07'),
('20000908','2000','09','08'),
('20000909','2000','09','09'),
('20000910','2000','09','10'),
('20000911','2000','09','11'),
('20000912','2000','09','12'),
('20000913','2000','09','13'),
('20000914','2000','09','14'),
('20000915','2000','09','15'),
('20000916','2000','09','16'),
('20000917','2000','09','17'),
('20000918','2000','09','18'),
('20000919','2000','09','19'),
('20000920','2000','09','20'),
('20000921','2000','09','21'),
('20000922','2000','09','22'),
('20000925','2000','09','25'),
('20000926','2000','09','26'),
('20000927','2000','09','27'),
('20000928','2000','09','28'),
('20000929','2000','09','29'),
('20000930','2000','09','30'),
('20001001','2000','10','01'),
